MESA,INSCRITOS,ASISTENCIA,VOTOS VALIDOS,VOTOS BLANCOS ,VOTOS NULOS,VOTOS EMITIDOS,% VOTOS VALIDOS,% VOTOS BLANCOS ,% VOTOS NULOS,% VOTOS EMITIDOS,RECINTO,ZONA,DISTRITO,CIRCUNSCRIPCION,
6,164,57,53,2,5,60,32.32%,1.22%,3.05%,36.59%,Colegio Ave Maria (Villa Fatima),VILLA_FATIMA,DISTRITO_6,6,
2,87,44,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Los Pinos,LOS_PINOS,DISTRITO_13,7,
7,176,47,57,2,11,70,32.39%,1.14%,6.25%,39.77%,Colegio Ave Maria (Villa Fatima),VILLA_FATIMA,DISTRITO_6,6,
3,83,34,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Los Pinos,LOS_PINOS,DISTRITO_13,7,
4,73,25,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Los Pinos,LOS_PINOS,DISTRITO_13,7,
3,112,46,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Natalia Palacios,VILLA_PABON,DISTRITO_3,9,
1,184,77,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Natalia Palacios,VILLA_PABON,DISTRITO_3,9,
1,169,12,60,4,8,72,35.50%,2.37%,4.73%,42.60%,Col. American School,AGUA_DE_LA_VIDA,DISTRITO_3,9,
2,108,41,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. San Andrés,COTA_COTA,DISTRITO_13,7,
1,124,45,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. San Andrés,COTA_COTA,DISTRITO_13,7,
2,75,35,28,2,5,35,37.33%,2.67%,6.67%,46.67%,Col. American School,AGUA_DE_LA_VIDA,DISTRITO_3,9,
3,40,0,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. San Andrés,COTA_COTA,DISTRITO_13,7,
1,100,31,23,2,6,31,23.00%,2.00%,6.00%,31.00%,Colegio Rene Barrientos,CALACOTO_KOANI,DISTRITO_12,7,
2,179,84,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Natalia Palacios,VILLA_PABON,DISTRITO_3,9,
2,113,37,28,4,5,37,24.78%,3.54%,4.42%,32.74%,Colegio Rene Barrientos,CALACOTO_KOANI,DISTRITO_12,7,
3,163,44,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Eduardo Avaroa,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8,
1,169,65,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Eduardo Avaroa,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8,
2,154,64,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
1,169,66,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
5,70,26,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Eduardo Avaroa,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8,
4,155,0,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
2,179,72,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Eduardo Avaroa,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8,
3,181,0,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
4,170,50,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Eduardo Avaroa,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8,
5,147,65,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
6,150,65,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
11,77,41,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
1,186,64,65,0,1,66,34.95%,0.00%,0.54%,35.48%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
7,162,43,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
2,199,42,54,1,5,60,27.14%,0.50%,2.51%,30.15%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
8,168,78,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
3,199,70,64,1,5,70,32.16%,0.50%,2.51%,35.18%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
9,159,55,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
10,144,68,,,,0,0.00%,0.00%,0.00%,0.00%,Tecnico Ayacucho (Miraflores Alto),MIRAFLORES_ALTO,DISTRITO_5,6,
4,184,69,60,1,10,71,32.61%,0.54%,5.43%,38.59%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
1,175,62,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Valle Hermoso,VALLE_HERMOSO,DISTRITO_7,6,
6,186,74,71,0,5,76,38.17%,0.00%,2.69%,40.86%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
5,193,76,66,3,7,76,34.20%,1.55%,3.63%,39.38%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
7,203,80,74,1,9,84,36.45%,0.49%,4.43%,41.38%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
8,192,0,57,1,2,60,29.69%,0.52%,1.04%,31.25%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
1,192,45,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
2,163,55,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Valle Hermoso,VALLE_HERMOSO,DISTRITO_7,6,
10,186,65,58,1,5,64,31.18%,0.54%,2.69%,34.41%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
9,188,52,48,3,10,61,25.53%,1.60%,5.32%,32.45%,Colegio  Adolfo  Costa Du Rels,SANTA_ROSA_GRANDE,DISTRITO_5,6,
3,156,69,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Valle Hermoso,VALLE_HERMOSO,DISTRITO_7,6,
3,115,51,,,,0,0.00%,0.00%,0.00%,0.00%,Instituto Americano Obrajes,OBRAJES,DISTRITO_16,7,
2,186,65,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
4,74,34,,,,0,0.00%,0.00%,0.00%,0.00%,Instituto Americano Obrajes,OBRAJES,DISTRITO_16,7,
1,141,49,,,,0,0.00%,0.00%,0.00%,0.00%,Instituto Americano Obrajes,OBRAJES,DISTRITO_16,7,
3,183,68,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
