oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190010402;238;154;1;6;218;225;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;19;9;15;154;21
;190010403;234;131;2;4;212;218;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;29;10;9;131;33
;190010404;234;142;1;4;213;218;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;27;13;9;142;22
;190010405;232;141;2;8;216;226;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;27;8;11;141;29
;190010406;233;115;1;4;205;210;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;33;9;5;115;43
;190010407;233;135;0;4;218;222;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;20;11;8;135;44
;190010408;55;29;1;1;49;51;59;SEDE SOCIAL PLAN AUTOPISTA              ;ALTO ACHACHICALA                        ;9;1;1;29;9
;190010501;234;187;5;4;219;228;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;10;6;7;187;9
;190010502;234;184;3;8;213;224;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;4;7;7;184;11
;190010503;233;174;1;6;216;223;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;16;6;10;174;10
;190010504;235;176;2;10;214;226;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;6;10;9;176;13
;190010505;235;179;6;2;211;219;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;8;4;6;179;14
;190010506;236;170;0;4;214;218;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;11;8;7;170;18
;190010507;27;23;0;1;26;27;160;ESC. LIMANIPATA 10 DE JUNIO             ;LIMANIPATA                              ;0;0;1;23;2
;190020101;235;121;2;7;200;209;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;24;15;11;121;29
;190020102;230;124;1;14;203;218;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;23;9;9;124;38
;190020103;234;148;3;6;217;226;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;10;17;12;148;30
;190020104;236;166;4;6;205;215;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;9;3;6;166;21
;190020105;233;112;0;3;211;214;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;21;20;10;112;48
;190020106;233;114;4;4;197;205;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;22;7;17;114;37
;190020107;237;157;1;6;211;218;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;11;8;6;157;29
;190020108;232;139;2;7;208;217;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;18;5;10;139;36
;190020109;237;133;4;9;208;221;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;15;18;8;133;34
;190020110;235;133;1;5;207;213;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;18;13;12;133;31
;190020111;230;129;5;9;194;208;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;18;9;7;129;31
;190020112;231;133;0;3;203;206;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;16;17;8;133;29
;190020113;238;126;2;9;203;214;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;22;13;3;126;39
;190020114;235;127;0;8;206;214;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;26;10;10;127;33
;190020115;228;129;3;8;198;209;152;ESC. ABRAHAM LINCOLN                    ;LA ZARZUELA                             ;9;20;13;129;27
;190020201;228;104;2;27;199;228;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;26;11;10;104;48
;190020202;235;133;0;6;210;216;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;18;8;10;133;41
;190020203;233;100;1;8;199;208;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;24;19;14;100;42
;190020204;230;100;1;7;206;214;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;35;12;10;100;49
;190020205;234;105;2;3;203;208;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;35;10;10;105;43
;190020206;235;109;2;2;209;213;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;29;16;15;109;40
;190020207;177;86;1;4;161;166;148;ESCUELA JOHN F. KENNEDY                 ;LA ZARZUELA                             ;21;12;10;86;32
;190020401;236;158;2;5;212;219;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;11;16;7;158;20
;190020402;228;133;0;3;208;211;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;20;11;11;133;33
